stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
010090,99999,2017,07,17,36.3,14,9999.9,0,1004.5,14,1003.8,14,999.9,0,8.7,14,21.4,999.9,41.0,*,31.3,,0.0,I,999.9,0,0,0,0,0,0
010090,99999,2017,12,05,23.6,13,9999.9,0,1008.3,13,1007.6,13,999.9,0,20.6,13,25.3,999.9,25.7,,21.4,*,0.0,I,999.9,0,0,0,0,0,0
010090,99999,2017,02,27,18.5,9,9999.9,0,1016.6,9,1015.9,9,999.9,0,7.1,9,9.7,999.9,20.1,*,16.0,*,0.0,I,999.9,0,0,0,0,0,0
010090,99999,2017,04,19,11.9,14,9999.9,0,1019.1,14,1018.3,14,999.9,0,7.2,14,11.7,999.9,19.6,*,5.2,*,0.0,I,999.9,0,0,0,0,0,0
010020,99999,2017,07,18,41.9,9,38.3,9,1009.3,9,1008.5,9,999.9,0,13.0,9,17.5,999.9,47.3,,38.5,,0.0,I,999.9,0,0,0,0,0,0
010260,99999,2017,07,19,49.3,11,45.6,11,1014.9,11,1001.0,11,14.4,8,4.5,10,6.0,10.9,53.1,,46.9,*,1.02,G,999.9,0,1,0,0,0,0
010020,99999,2017,12,05,24.9,12,20.3,12,1007.8,12,1006.9,12,999.9,0,13.9,12,17.5,999.9,25.9,*,23.0,*,0.0,I,999.9,0,0,0,0,0,0
010260,99999,2017,08,28,47.2,13,42.3,13,1008.2,13,994.3,13,39.6,4,3.0,12,5.6,11.8,54.9,,41.9,,0.0,G,999.9,0,1,0,0,0,0
010170,99999,2017,07,17,48.0,14,40.4,14,1000.8,14,1000.0,14,999.9,0,15.1,14,19.4,999.9,51.3,,43.3,,0.0,I,999.9,0,0,0,0,0,0
010030,99999,2017,07,17,44.0,14,41.1,14,1001.4,14,1000.0,14,12.8,8,13.8,14,25.3,33.6,48.7,,40.6,,0.03,G,999.9,0,1,0,0,0,0
010240,99999,2017,05,16,17.8,15,8.5,15,1020.1,15,1018.7,15,999.9,0,3.2,11,5.8,999.9,24.6,*,11.5,*,0.0,I,999.9,0,0,0,0,0,0
010250,99999,2017,10,28,33.7,24,31.7,24,985.1,9,983.9,9,9.5,24,4.9,24,15.9,999.9,36.7,*,30.2,*,0.59,G,999.9,0,1,1,0,0,0
010300,99999,2017,12,28,11.7,20,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,14.7,,9.1,,0.0,I,999.9,0,0,0,0,0,0
