usaf,wban,name,country,state,call,lat,lon,elev,begin,end
007026,99999,WXPOD 7026,AF,,,0.0,0.0,+7026.0,20140711,20170822
007070,99999,WXPOD 7070,AF,,,0.0,0.0,+7070.0,20140923,20150926
008403,99999,XM10,,,,,,,20140101,20140412
008411,99999,XM20,,,,,,,20140102,20160217
008414,99999,XM18,,,,,,,20140101,20160217
008415,99999,XM21,,,,,,,20140108,20160217
008416,99999,XM22,,,,,,,20140402,20150917
008418,99999,XM24,,,,,,,20140101,20160217
008421,99999,XM26,,,,,,,20140406,20151229
010000,99999,BOGUS NORWAY,NO,,ENRS,,,,20010927,20051231
010010,99999,JAN MAYEN(NOR-NAVY),NO,,ENJA,70.933,-8.667,+0009.0,19310101,20171229
010013,99999,ROST,NO,,,,,,19861120,19880105
010014,99999,SORSTOKKEN,NO,,ENSO,59.792,5.341,+0048.8,19861120,20171229
010015,99999,BRINGELAND,NO,,,61.383,5.867,+0327.0,19870117,20111020
010016,99999,RORVIK/RYUM,NO,,,64.85,11.233,+0014.0,19870116,19910806
010017,99999,FRIGG,NO,,ENFR,59.98,2.25,+0048.0,19880320,20050228
010020,99999,VERLEGENHUKEN,NO,,,80.05,16.25,+0008.0,19861109,20171229
010030,99999,HORNSUND,NO,,,77.0,15.5,+0012.0,19850601,20171229
010040,99999,NY-ALESUND II,NO,,ENAS,78.917,11.933,+0008.0,19730101,20140523
010050,99999,ISFJORD RADIO,SV,,,78.067,13.633,+0009.0,19310103,20140523
010060,99999,EDGEOYA,NO,,,78.25,22.817,+0014.0,19730101,20171229
010070,99999,NY-ALESUND,SV,,,78.917,11.933,+0007.7,19730106,20171229
010071,99999,LONGYEARBYEN,SV,,,78.217,15.583,+0037.0,20050210,20050210
010080,99999,LONGYEAR,SV,,ENSB,78.246,15.466,+0026.8,19750929,20171229
010090,99999,KARL XII OYA,SV,,,80.65,25.0,+0005.0,19550101,20171229
010100,99999,ANDOYA,NO,,ENAN,69.293,16.144,+0013.1,19310103,20171229
010110,99999,KVITOYA,SV,,,80.067,31.5,+0010.0,19861118,20171229
010120,99999,,,,,,,,19741130,19751116
010140,99999,SENJA-LAUKHELLA,NO,,,69.233,17.9,+0009.0,19730101,20140523
010150,99999,HEKKINGEN FYR,NO,,,69.6,17.833,+0014.0,19800314,20171229
010160,99999,KONGSOYA,NO,,,78.933,28.9,+0020.0,19930501,20171229
010170,99999,AKSELOYA,SV,,,77.683,14.783,+0006.0,19730101,20171229
010190,99999,SVARTTANGEN,NO,,,77.517,20.817,+0020.0,20100825,20140523
010200,99999,SORKAPPOYA,SV,,,76.483,16.55,+0010.0,20101008,20171229
010230,99999,BARDUFOSS,NO,,ENDU,69.056,18.54,+0076.8,19400713,20171229
010231,99999,DRAUGEN,NO,,ENDR,64.35,7.8,+0000.0,20040510,20171229
010240,99999,PYRAMIDEN,NO,,,78.65,16.367,+0020.0,19730101,20171229
010250,99999,TROMSO,NO,,ENTC,69.683,18.919,+0009.4,19730101,20171229
010260,99999,TROMSO,NO,,,69.65,18.933,+0114.5,19970201,20171229
010270,99999,TROMSO-HOLT,NO,,,69.65,18.9,+0020.0,20110928,20171229
010280,99999,BJORNOYA ISLAND,NO,,ENBJ,74.517,19.017,+0018.0,19310103,20171229
010300,99999,KISTEFJELL,NO,,,69.283,18.133,+0982.0,19510101,20171229
010303,99999,TROMSO/SKATTURA,NO,,,69.7,19.017,+0014.0,20150108,20150108
010320,99999,OVERBYGD,NO,,,69.017,19.283,+0078.0,19730101,20140523
010330,99999,TORSVAG FYR,NO,,,70.25,19.5,+0024.0,19730101,20171229
010340,99999,FUGLOYKALVEN FYR,NO,,,70.317,20.15,+0038.0,19871202,20140523
010350,99999,LYNGEN GJERDVASSBU,NO,,,69.567,20.1,+0710.0,19730101,20171229
010360,99999,NORDNESFJELLET,NO,,,69.567,20.433,+0710.0,20040510,20171229
010370,99999,SKIBOTN 2,NO,,,69.383,20.283,+0020.0,19730101,20171229
010400,99999,SKJERVOY,NO,,,70.033,20.983,+0015.0,19730101,19780927
010410,99999,NORDREISA-OYENG,NO,,,69.733,21.017,+0005.0,19730101,20140523
010420,99999,HASVIK-SLUSKFJELLET,NO,,,70.6,22.45,+0438.0,20080917,20171229
010430,99999,ROGNSUNDET,NO,,,70.417,22.817,+0010.0,19730101,20171229
010435,99999,HASVIK,NO,,,70.483,22.15,+0007.0,19750515,20111014
010440,99999,HASVIK,NO,,ENHK,70.487,22.14,+0006.4,20110928,20171229
010450,99999,NORDSTRAUM I KVAENANGEN,NO,,,69.833,21.883,+0006.0,19730101,20171229
010455,99999,,,,,,,,19741117,19750904
010460,99999,SORKJOSEN,NO,,ENSR,69.787,20.959,+0004.9,19750905,20171229
010470,99999,KAUTOKEINO II,NO,,ENKA,69.017,23.067,+0307.0,19730101,20171229
010490,99999,ALTA,NO,,ENAT,69.976,23.372,+0002.7,19730101,20171229
010510,99999,SUOLOVUOPMI,NO,,,69.583,23.533,+0374.0,19730102,20140523
010520,99999,HAMMERFEST AP,NO,,ENHF,70.683,23.683,+0081.0,19401008,20171229
010530,99999,HAMMERFEST RADIO,NO,,,70.683,23.683,+0070.0,19730101,19871226
010550,99999,FRUHOLMEN FYR,NO,,,71.1,23.983,+0014.2,19310101,20171229
010570,99999,CUOVDDATMOHKKI,NO,,,69.367,24.433,+0286.0,19730101,20171229
010580,99999,SUOLOVUOPMI LULIT,NO,,,69.567,23.533,+0381.0,20050218,20171229
010590,99999,BANAK,NO,,ENNA,70.069,24.973,+0007.6,19730101,20171229
010610,99999,BRENNELV,NO,,,70.067,25.117,+0034.0,19730101,19840707
010617,99999,OSEBERG,NO,,,,,,19890101,19901001
010620,99999,HOPEN ISLAND,NO,,ENHO,76.5,25.067,+0010.0,19550101,20171229
010630,99999,KISTRAND III,NO,,,70.45,25.217,+0006.0,19730101,19870715
010650,99999,KARASJOK,NO,,,69.467,25.517,+0133.0,19730101,20171229
010660,99999,HELNES FYR,NO,,,71.067,26.233,+0033.0,19730101,20040619
010670,99999,LEVAJOK-EVJEN,NO,,,69.9,26.417,+0112.0,19730103,19820924
010671,99999,LEVAJOK-EVJEN,NO,,,69.9,26.417,+0112.0,20070307,20070307
010680,99999,HONNINGSVAG/VALAN,NO,,ENHV,71.017,25.983,+0014.0,19800604,20171229
010720,99999,,,,,,,,19740227,19740227
010740,99999,MEHAMN,NO,,ENMH,71.033,27.833,+0013.0,19750905,20171229
010750,99999,RUSTEFJELBMA,NO,,,70.4,28.2,+0011.2,19730101,20130531
010760,99999,TANABRU,NO,,,70.217,28.167,+0032.0,20121121,20171229
010780,99999,SLETTNES FYR,NO,,,71.1,28.233,+0010.0,19730101,20171229
010820,99999,NYRUD,NO,,,69.15,29.25,+0056.0,19730919,20171229
010830,99999,BERLEVAG,NO,,ENBV,70.867,29.033,+0013.0,19750905,20171229
010840,99999,PASVIK,NO,,,69.45,30.033,+0027.0,19730101,20171229
010850,99999,BUGOYFJORD,NO,,,69.85,29.417,+0008.0,19730101,19781008
010860,99999,BATSFJORD,NO,,ENBS,70.6,29.693,+0149.4,20110928,20171229
010875,99999,HEIMDAL OIL PLATFORM,NO,,ENHM,59.567,2.217,+0090.0,20110101,20171229
010876,99999,NORNE OIL PLATFORM,NO,,ENNE,66.017,8.083,+0090.0,20110101,20171229
010877,99999,TROLL A  OIL PLATFORM,NO,,ENQA,60.633,3.717,+0090.0,20110101,20171229
010878,99999,SNORRE A  OIL PLATFORM,NO,,ENSE,61.45,2.133,+0090.0,20110101,20171229
010879,99999,SNORRE B  OIL PLATFORM,NO,,ENQR,61.533,2.2,+0090.0,20110101,20171229
010880,99999,VADSO,NO,,ENVD,70.067,29.85,+0039.0,19750905,20171229
010881,99999,NARVIK III/FRAMNES,NO,,,68.467,17.5,+0023.0,20050405,20111020
010882,99999,ROROS,NO,,ENRO,62.578,11.342,+0626.1,20050405,20171229
